outer_fold,feature,scaled_coefficient
4,effect_and_interactions__interaction_temperature_50__material_材料1,0.000922883537714
4,effect_and_interactions__interaction_temperature_50__material_材料2,0.0052584851511
4,effect_and_interactions__interaction_temperature_50__material_材料3,-0.00824471789264
4,effect_and_interactions__interaction_temperature_70__material_材料1,0.00517430374696
4,effect_and_interactions__interaction_temperature_70__material_材料2,-0.00247877756365
4,effect_and_interactions__interaction_temperature_70__material_材料3,-0.0108770427268
4,effect_and_interactions__interaction_waveform_正弦波__material_材料1,-0.0545634485459
4,effect_and_interactions__interaction_waveform_正弦波__material_材料2,0.0333129714111
4,effect_and_interactions__interaction_waveform_正弦波__material_材料3,0.041537784595
4,effect_and_interactions__interaction_waveform_三角波__material_材料1,0.0986136320791
4,effect_and_interactions__interaction_waveform_三角波__material_材料2,-0.0469590999479
4,effect_and_interactions__interaction_waveform_三角波__material_材料3,-0.0655795086813
