q5_region_id,valid_repetitions,pareto_repetitions,conditional_region_pareto_rate,minimum_valid_repetitions,minimum_conditional_rate,bootstrap_region_stability_pass
材料2|梯形波|90|fq3|bq3,494,1,0.00202429149798,400,0.5,False
材料2|正弦波|25|fq0|bq0,488,0,0,400,0.5,False
材料2|正弦波|25|fq0|bq1,497,0,0,400,0.5,False
材料2|正弦波|25|fq0|bq2,500,0,0,400,0.5,False
材料2|正弦波|25|fq0|bq3,500,0,0,400,0.5,False
材料2|正弦波|25|fq1|bq0,500,0,0,400,0.5,False
材料2|正弦波|25|fq1|bq1,500,0,0,400,0.5,False
材料2|正弦波|25|fq1|bq2,499,0,0,400,0.5,False
材料2|正弦波|25|fq1|bq3,500,0,0,400,0.5,False
材料2|正弦波|25|fq2|bq0,500,0,0,400,0.5,False
材料2|正弦波|25|fq2|bq1,498,0,0,400,0.5,False
材料2|正弦波|25|fq2|bq2,498,0,0,400,0.5,False
材料2|正弦波|25|fq2|bq3,329,0,0,400,0.5,False
材料2|正弦波|25|fq3|bq0,488,1,0.00204918032787,400,0.5,False
材料2|正弦波|25|fq3|bq1,479,0,0,400,0.5,False
材料2|正弦波|25|fq3|bq2,431,0,0,400,0.5,False
材料2|正弦波|50|fq0|bq0,493,0,0,400,0.5,False
材料2|正弦波|50|fq0|bq1,499,0,0,400,0.5,False
材料2|正弦波|50|fq0|bq2,500,0,0,400,0.5,False
材料2|正弦波|50|fq0|bq3,500,0,0,400,0.5,False
材料2|正弦波|50|fq1|bq0,499,0,0,400,0.5,False
材料2|正弦波|50|fq1|bq1,500,0,0,400,0.5,False
材料2|正弦波|50|fq1|bq2,500,0,0,400,0.5,False
材料2|正弦波|50|fq1|bq3,500,0,0,400,0.5,False
材料2|正弦波|50|fq2|bq0,499,0,0,400,0.5,False
材料2|正弦波|50|fq2|bq1,489,0,0,400,0.5,False
材料2|正弦波|50|fq2|bq2,498,0,0,400,0.5,False
材料2|正弦波|50|fq2|bq3,330,0,0,400,0.5,False
材料2|正弦波|50|fq3|bq0,492,0,0,400,0.5,False
材料2|正弦波|50|fq3|bq1,481,0,0,400,0.5,False
材料2|正弦波|50|fq3|bq2,432,0,0,400,0.5,False
材料2|正弦波|70|fq0|bq0,499,337,0.675350701403,400,0.5,True
材料2|正弦波|70|fq0|bq1,499,0,0,400,0.5,False
材料2|正弦波|70|fq0|bq2,500,0,0,400,0.5,False
材料2|正弦波|70|fq0|bq3,500,0,0,400,0.5,False
材料2|正弦波|70|fq1|bq0,499,432,0.865731462926,400,0.5,True
材料2|正弦波|70|fq1|bq1,500,14,0.028,400,0.5,False
材料2|正弦波|70|fq1|bq2,500,0,0,400,0.5,False
材料2|正弦波|70|fq1|bq3,500,0,0,400,0.5,False
材料2|正弦波|70|fq2|bq0,500,9,0.018,400,0.5,False
材料2|正弦波|70|fq2|bq1,497,0,0,400,0.5,False
材料2|正弦波|70|fq2|bq2,498,0,0,400,0.5,False
材料2|正弦波|70|fq2|bq3,320,0,0,400,0.5,False
材料2|正弦波|70|fq3|bq0,487,0,0,400,0.5,False
材料2|正弦波|70|fq3|bq1,479,0,0,400,0.5,False
材料2|正弦波|70|fq3|bq2,437,0,0,400,0.5,False
材料2|正弦波|90|fq0|bq0,482,334,0.692946058091,400,0.5,True
材料2|正弦波|90|fq0|bq1,500,0,0,400,0.5,False
材料2|正弦波|90|fq0|bq2,500,0,0,400,0.5,False
材料2|正弦波|90|fq0|bq3,500,0,0,400,0.5,False
材料2|正弦波|90|fq1|bq0,499,389,0.779559118236,400,0.5,True
材料2|正弦波|90|fq1|bq1,500,4,0.008,400,0.5,False
材料2|正弦波|90|fq1|bq2,500,0,0,400,0.5,False
材料2|正弦波|90|fq1|bq3,500,0,0,400,0.5,False
材料2|正弦波|90|fq2|bq0,500,42,0.084,400,0.5,False
材料2|正弦波|90|fq2|bq1,497,0,0,400,0.5,False
材料2|正弦波|90|fq2|bq2,491,121,0.246435845214,400,0.5,False
材料2|正弦波|90|fq2|bq3,313,0,0,400,0.5,False
材料2|正弦波|90|fq3|bq0,494,0,0,400,0.5,False
材料2|正弦波|90|fq3|bq1,473,0,0,400,0.5,False
材料2|正弦波|90|fq3|bq2,437,1,0.00228832951945,400,0.5,False
材料3|三角波|25|fq0|bq0,311,0,0,400,0.5,False
材料3|三角波|25|fq0|bq1,471,0,0,400,0.5,False
材料3|三角波|25|fq0|bq2,499,0,0,400,0.5,False
材料3|三角波|25|fq0|bq3,500,0,0,400,0.5,False
材料3|三角波|25|fq1|bq0,443,0,0,400,0.5,False
材料3|三角波|25|fq1|bq1,498,0,0,400,0.5,False
材料3|三角波|25|fq1|bq2,500,0,0,400,0.5,False
材料3|三角波|25|fq1|bq3,500,0,0,400,0.5,False
材料3|三角波|25|fq2|bq0,500,0,0,400,0.5,False
材料3|三角波|25|fq2|bq1,499,0,0,400,0.5,False
材料3|三角波|25|fq2|bq2,500,0,0,400,0.5,False
材料3|三角波|25|fq2|bq3,500,0,0,400,0.5,False
材料3|三角波|25|fq3|bq0,500,0,0,400,0.5,False
材料3|三角波|25|fq3|bq1,498,0,0,400,0.5,False
材料3|三角波|25|fq3|bq2,499,0,0,400,0.5,False
材料3|三角波|25|fq3|bq3,493,3,0.00608519269777,400,0.5,False
材料3|三角波|50|fq0|bq1,291,0,0,400,0.5,False
材料3|三角波|50|fq0|bq2,497,0,0,400,0.5,False
材料3|三角波|50|fq0|bq3,500,0,0,400,0.5,False
材料3|三角波|50|fq1|bq0,310,0,0,400,0.5,False
材料3|三角波|50|fq1|bq1,499,0,0,400,0.5,False
材料3|三角波|50|fq1|bq2,500,0,0,400,0.5,False
材料3|三角波|50|fq1|bq3,500,0,0,400,0.5,False
材料3|三角波|50|fq2|bq0,500,0,0,400,0.5,False
材料3|三角波|50|fq2|bq1,499,0,0,400,0.5,False
材料3|三角波|50|fq2|bq2,498,0,0,400,0.5,False
材料3|三角波|50|fq2|bq3,499,0,0,400,0.5,False
材料3|三角波|50|fq3|bq0,500,20,0.04,400,0.5,False
材料3|三角波|50|fq3|bq1,500,0,0,400,0.5,False
材料3|三角波|50|fq3|bq2,499,1,0.00200400801603,400,0.5,False
材料3|三角波|50|fq3|bq3,480,67,0.139583333333,400,0.5,False
材料3|三角波|70|fq0|bq1,434,0,0,400,0.5,False
材料3|三角波|70|fq0|bq2,499,0,0,400,0.5,False
材料3|三角波|70|fq0|bq3,500,0,0,400,0.5,False
材料3|三角波|70|fq1|bq0,321,0,0,400,0.5,False
材料3|三角波|70|fq1|bq1,500,0,0,400,0.5,False
材料3|三角波|70|fq1|bq2,500,0,0,400,0.5,False
材料3|三角波|70|fq1|bq3,500,0,0,400,0.5,False
材料3|三角波|70|fq2|bq0,500,0,0,400,0.5,False
材料3|三角波|70|fq2|bq1,500,43,0.086,400,0.5,False
材料3|三角波|70|fq2|bq2,499,71,0.142284569138,400,0.5,False
材料3|三角波|70|fq2|bq3,500,6,0.012,400,0.5,False
材料3|三角波|70|fq3|bq0,500,0,0,400,0.5,False
材料3|三角波|70|fq3|bq1,500,7,0.014,400,0.5,False
