outer_fold,candidate_index,parameters_json,inner_fold,rmsle
1,1,"{""l2_regularization"":0.0,""learning_rate"":0.06,""max_iter"":500,""max_leaf_nodes"":31,""min_samples_leaf"":50,""random_state"":20240920}",mean,0.0891098299568
1,2,"{""l2_regularization"":0.0,""learning_rate"":0.06,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":50,""random_state"":20240920}",0,0.0942824482804
1,2,"{""l2_regularization"":0.0,""learning_rate"":0.06,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":50,""random_state"":20240920}",1,0.0968157522109
1,2,"{""l2_regularization"":0.0,""learning_rate"":0.06,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":50,""random_state"":20240920}",2,0.0898294376509
1,2,"{""l2_regularization"":0.0,""learning_rate"":0.06,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":50,""random_state"":20240920}",mean,0.0936425460474
1,3,"{""l2_regularization"":0.0,""learning_rate"":0.1,""max_iter"":500,""max_leaf_nodes"":31,""min_samples_leaf"":50,""random_state"":20240920}",0,0.0912633375682
1,3,"{""l2_regularization"":0.0,""learning_rate"":0.1,""max_iter"":500,""max_leaf_nodes"":31,""min_samples_leaf"":50,""random_state"":20240920}",1,0.0925520608598
1,3,"{""l2_regularization"":0.0,""learning_rate"":0.1,""max_iter"":500,""max_leaf_nodes"":31,""min_samples_leaf"":50,""random_state"":20240920}",2,0.0857734425853
1,3,"{""l2_regularization"":0.0,""learning_rate"":0.1,""max_iter"":500,""max_leaf_nodes"":31,""min_samples_leaf"":50,""random_state"":20240920}",mean,0.0898629470044
1,4,"{""l2_regularization"":1.0,""learning_rate"":0.03,""max_iter"":500,""max_leaf_nodes"":31,""min_samples_leaf"":20,""random_state"":20240920}",0,0.0981850852115
1,4,"{""l2_regularization"":1.0,""learning_rate"":0.03,""max_iter"":500,""max_leaf_nodes"":31,""min_samples_leaf"":20,""random_state"":20240920}",1,0.0992109567735
1,4,"{""l2_regularization"":1.0,""learning_rate"":0.03,""max_iter"":500,""max_leaf_nodes"":31,""min_samples_leaf"":20,""random_state"":20240920}",2,0.0949655241799
1,4,"{""l2_regularization"":1.0,""learning_rate"":0.03,""max_iter"":500,""max_leaf_nodes"":31,""min_samples_leaf"":20,""random_state"":20240920}",mean,0.0974538553883
1,5,"{""l2_regularization"":1.0,""learning_rate"":0.06,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":50,""random_state"":20240920}",0,0.0959059552099
1,5,"{""l2_regularization"":1.0,""learning_rate"":0.06,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":50,""random_state"":20240920}",1,0.0978219607485
1,5,"{""l2_regularization"":1.0,""learning_rate"":0.06,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":50,""random_state"":20240920}",2,0.0916856769336
1,5,"{""l2_regularization"":1.0,""learning_rate"":0.06,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":50,""random_state"":20240920}",mean,0.0951378642973
1,6,"{""l2_regularization"":5.0,""learning_rate"":0.03,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":20,""random_state"":20240920}",0,0.108036196821
1,6,"{""l2_regularization"":5.0,""learning_rate"":0.03,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":20,""random_state"":20240920}",1,0.111094875787
1,6,"{""l2_regularization"":5.0,""learning_rate"":0.03,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":20,""random_state"":20240920}",2,0.107050951629
1,6,"{""l2_regularization"":5.0,""learning_rate"":0.03,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":20,""random_state"":20240920}",mean,0.108727341412
1,7,"{""l2_regularization"":0.0,""learning_rate"":0.1,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":20,""random_state"":20240920}",0,0.0937806194348
1,7,"{""l2_regularization"":0.0,""learning_rate"":0.1,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":20,""random_state"":20240920}",1,0.0961048583863
1,7,"{""l2_regularization"":0.0,""learning_rate"":0.1,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":20,""random_state"":20240920}",2,0.0890704906895
1,7,"{""l2_regularization"":0.0,""learning_rate"":0.1,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":20,""random_state"":20240920}",mean,0.0929853228369
1,8,"{""l2_regularization"":5.0,""learning_rate"":0.06,""max_iter"":500,""max_leaf_nodes"":31,""min_samples_leaf"":50,""random_state"":20240920}",0,0.0913897123449
1,8,"{""l2_regularization"":5.0,""learning_rate"":0.06,""max_iter"":500,""max_leaf_nodes"":31,""min_samples_leaf"":50,""random_state"":20240920}",1,0.0935006694401
