q5_region_id,candidate_n,candidate_fold_count,heldout_pareto_fold_support,required_fold_support,region_fold_support_pass
材料2|正弦波|50|fq2|bq2,13,4,0,3,False
材料2|正弦波|50|fq2|bq3,2,1,0,3,False
材料2|正弦波|50|fq3|bq0,21,3,0,3,False
材料2|正弦波|50|fq3|bq1,8,2,0,3,False
材料2|正弦波|50|fq3|bq2,5,2,0,3,False
材料2|正弦波|70|fq0|bq0,13,3,2,3,False
材料2|正弦波|70|fq0|bq1,24,5,0,3,False
材料2|正弦波|70|fq0|bq2,18,5,0,3,False
材料2|正弦波|70|fq0|bq3,24,5,0,3,False
材料2|正弦波|70|fq1|bq0,15,5,1,3,False
材料2|正弦波|70|fq1|bq1,20,5,0,3,False
材料2|正弦波|70|fq1|bq2,20,4,0,3,False
材料2|正弦波|70|fq1|bq3,23,4,0,3,False
材料2|正弦波|70|fq2|bq0,22,5,0,3,False
材料2|正弦波|70|fq2|bq1,14,3,0,3,False
材料2|正弦波|70|fq2|bq2,12,3,0,3,False
材料2|正弦波|70|fq2|bq3,3,1,0,3,False
材料2|正弦波|70|fq3|bq0,17,3,1,3,False
材料2|正弦波|70|fq3|bq1,15,3,2,3,False
材料2|正弦波|70|fq3|bq2,5,2,1,3,False
材料2|正弦波|90|fq0|bq0,8,2,1,3,False
材料2|正弦波|90|fq0|bq1,18,3,0,3,False
材料2|正弦波|90|fq0|bq2,17,5,0,3,False
材料2|正弦波|90|fq0|bq3,25,5,0,3,False
材料2|正弦波|90|fq1|bq0,15,4,0,3,False
材料2|正弦波|90|fq1|bq1,21,5,0,3,False
材料2|正弦波|90|fq1|bq2,21,4,0,3,False
材料2|正弦波|90|fq1|bq3,21,4,0,3,False
材料2|正弦波|90|fq2|bq0,20,3,0,3,False
材料2|正弦波|90|fq2|bq1,8,3,0,3,False
材料2|正弦波|90|fq2|bq2,7,3,0,3,False
材料2|正弦波|90|fq2|bq3,2,1,0,3,False
材料2|正弦波|90|fq3|bq0,21,2,2,3,False
材料2|正弦波|90|fq3|bq1,13,3,3,3,True
材料2|正弦波|90|fq3|bq2,6,2,1,3,False
材料3|三角波|25|fq0|bq0,1,1,0,3,False
材料3|三角波|25|fq0|bq1,4,2,0,3,False
材料3|三角波|25|fq0|bq2,10,3,0,3,False
材料3|三角波|25|fq0|bq3,15,5,0,3,False
材料3|三角波|25|fq1|bq0,2,2,0,3,False
材料3|三角波|25|fq1|bq1,12,4,0,3,False
材料3|三角波|25|fq1|bq2,14,2,0,3,False
材料3|三角波|25|fq1|bq3,24,5,0,3,False
材料3|三角波|25|fq2|bq0,22,4,0,3,False
材料3|三角波|25|fq2|bq1,25,5,0,3,False
材料3|三角波|25|fq2|bq2,26,3,0,3,False
材料3|三角波|25|fq2|bq3,21,3,0,3,False
材料3|三角波|25|fq3|bq0,47,5,0,3,False
材料3|三角波|25|fq3|bq1,25,3,0,3,False
材料3|三角波|25|fq3|bq2,22,5,0,3,False
材料3|三角波|25|fq3|bq3,9,3,0,3,False
材料3|三角波|50|fq0|bq1,2,1,0,3,False
材料3|三角波|50|fq0|bq2,7,4,0,3,False
材料3|三角波|50|fq0|bq3,18,5,0,3,False
材料3|三角波|50|fq1|bq0,2,1,0,3,False
材料3|三角波|50|fq1|bq1,11,4,0,3,False
材料3|三角波|50|fq1|bq2,13,4,0,3,False
材料3|三角波|50|fq1|bq3,22,5,0,3,False
